year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
coal_electricity,1073.285,1088.294,1090.231,1151.562,1123.566,1115.057,1158.472,1174.033,1095.968,1004.344,1073.285,1088.294,1090.231,1151.562,1123.566,1115.057,1158.472,1174.033,1095.968,1004.344
gas_electricity,557.227,577.535,612.94,670.779,720.299,779.055,791.962,860.12,912.014,847.509,557.227,577.535,612.94,670.779,720.299,779.055,791.962,860.12,912.014,847.509
hydro_electricity,617.664,612.041,563.942,529.569,570.153,571.725,561.909,563.964,593.033,589.745,617.664,612.041,563.942,529.569,570.153,571.725,561.909,563.964,593.033,589.745
nuclear_electricity,1048.821,1082.006,1095.455,1104.81,1122.66,1110.195,1108.071,1055.813,1055.098,1004.693,1048.821,1082.006,1095.455,1104.81,1122.66,1110.195,1108.071,1055.813,1055.098,1004.693
oil_electricity,192.969,188.577,203.96,182.733,162.321,156.073,143.905,124.663,119.279,108.51,192.969,188.577,203.96,182.733,162.321,156.073,143.905,124.663,119.279,108.51
solar_electricity,134,0.17,277,469,751,1.486,2.524,3.816,7.501,14.193,134,0.17,277,469,751,1.486,2.524,3.816,7.501,14.193
wind_electricity,22.455,26.934,36.426,44.531,59.297,71.097,83.164,105.713,121.354,135.383,22.455,26.934,36.426,44.531,59.297,71.097,83.164,105.713,121.354,135.383
