year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
coal_electricity,29.669,33.37,35.59,36.527,37.372,36.701,36.301,37.824,35.74,34.729,34.642,35.616,39.16,32.615,30.685,29.678,24.693,22.702,21.269,22.558
gas_electricity,235.06,261.681,284.212,307.322,332.234,373.995,390.989,426.901,441.848,468.71,526.602,500.405,528.637,544.991,622.884,679.508,734.534,800.327,781.644,792.941
hydro_electricity,10.722,11.618,16.824,18.485,23.082,23.918,28.254,26.706,13.69,12.116,17.39,18.256,21.407,23.51,19.943,16.767,20.163,20.781,14.506,33.297
nuclear_electricity,0,0,0,0,0,0,0,0,0,0,0,111,1.478,4.322,4.14,3.547,6.474,6.958,6.885,6.411
oil_electricity,195.093,194.433,201.735,203.775,207.368,213.151,230.882,245.709,271.267,292.013,294.593,334.665,356.633,375.434,373.581,377.834,353.471,340.876,392.334,396.115
solar_electricity,0,0,0,0,0,0,0,0,4,34,98,226,429,688,1.303,1.872,3.171,4.394,6.102,11.922
wind_electricity,0.04,47,44,43,61,86,139,155,0.21,0.24,222,226,217,228,217,383,711,0.83,1.132,1.156
