year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
coal_electricity,208.214,214.431,222.898,235.015,245.195,248.812,255.901,262.47,257.491,247.706,257.335,259.959,255.512,251.335,251.874,246.836,249.796,249.721,256.569,253.556
gas_electricity,91.842,100.976,115.952,123.976,138.154,152.749,164.415,174.819,184.493,192.528,218.292,235.694,261.239,268.471,277.117,292.686,306.894,326.867,331.303,340.473
hydro_electricity,75.246,80.864,85.181,82.873,87.405,89.066,92.241,95.341,97.157,99.761,107.427,110.445,110.952,117.673,123.727,119.857,115.801,123.816,130.388,132.735
nuclear_electricity,13.01,10.719,11.991,12.663,13.365,11.293,10.026,11.317,13.004,12.806,13.527,12.902,12.967,14.106,13.794,12.237,15.913,15.756,11.09,14.214
oil_electricity,46.263,47.139,46.41,47.871,48.735,50.775,54.697,58.191,62.768,67.713,65.371,57.839,68.948,79.63,84.679,92.817,87.162,80.008,79.318,81.274
solar_electricity,13,16,19,23,27,32,41,53,75,98,214,453,551,824,1.831,3.596,4.939,6.984,9.85,19.378
wind_electricity,176,416,445,541,769,782,853,1.016,1.312,1.59,2.284,2.537,2.962,3.56,5.158,8.888,11.306,12.458,14.288,17.508
