year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
coal_electricity,2263.256,2190.631,2226.471,2278.385,2266.104,2313.261,2281.681,2318.84,2267.462,2011.398,2114.916,1987.746,1742.521,1814.274,1813.694,1564.177,1442.9,1400.992,1326.302,1134.415
gas_electricity,722.012,779.924,850.992,817.733,895.872,944.851,1037.253,1137.906,1119.348,1172.51,1257.093,1302.449,1533.36,1433.629,1447.953,1688.612,1737.976,1646.414,1838.025,1975.752
hydro_electricity,662.596,570.196,632.304,625.963,626.129,656.093,668.878,638.005,667.766,666.942,645.817,728.089,686.208,686.36,677.145,659.538,679.893,723.242,707.879,676.926
nuclear_electricity,874.086,894.179,905.867,888.802,928.982,925.348,936.801,952.131,953.797,940.866,945.348,934.821,912.794,945.064,955.334,951.813,959.39,958.793,963.244,963.747
oil_electricity,229.526,242.927,196.332,218.336,223.22,220.627,133.232,134.358,112.378,100.415,90.511,87.318,86.877,83.365,69.64,66.647,64.328,65.781,66.656,61.786
solar_electricity,542,602,632,641,721,776,857,1.133,1.687,2.212,3.298,5.352,9.987,17.644,31.557,42.567,58.944,82.825,101.342,125.113
wind_electricity,5.933,7.152,10.885,12.009,15.252,19.561,29.351,38.023,59.966,81.87,105.572,133.227,157.244,184.865,202.733,228.356,270.597,299.005,321.679,354.873
