,Africa,Asia Pacific,Europe,Middle East,North America
coal_electricity,0.3,0.6,0.27,0.02,0.21
gas_electricity,0.4,0.12,0.23,0.63,0.38
hydro_electricity,0.15,0.14,0.16,0.02,0.13
nuclear_electricity,0.02,0.05,0.27,0.01,0.18
oil_electricity,0.09,0.01,0.03,0.31,0.01
solar_electricity,0.02,0.03,0,0.01,0.02
wind_electricity,0.02,0.04,0.04,0,0.07
